dim,f,p
14200,515.8378409488618,2.284800634349072e-189
13962,515.8378409488618,2.284800634349072e-189
14082,515.8378409488618,2.284800634349072e-189
15424,497.43957561158277,1.278138287125011e-183
14678,496.31146759778966,2.8901411584856916e-183
16686,489.9781152107669,2.8469729355517226e-181
16950,487.46265260687784,1.7705210299573672e-180
15667,473.40744301945773,5.054714310577583e-176
16073,473.40744301945773,5.054714310577583e-176
28034,471.2405416635359,2.4760631351175608e-175
28094,471.2405416635359,2.4760631351175608e-175
15112,464.82480738470326,2.7660691231549917e-173
16507,464.09054507745583,4.750478909651761e-173
14677,462.81319231888324,1.2177768437398578e-172
15420,457.6676451026147,5.43829873621795e-171
28092,448.4173021672614,5.172917899726251e-168
28032,448.4173021672614,5.172917899726251e-168
16078,443.95866722413126,1.4285335117843874e-166
15588,443.0956446757368,2.7181239928722764e-166
15559,437.2942680259135,2.0696634549030507e-164
15707,437.2942680259135,2.0696634549030507e-164
27999,436.8467419651039,2.89276018158254e-164
16624,435.34477754325746,8.904580817422323e-164
28125,429.75328379004765,5.904462182522451e-162
28061,429.75328379004765,5.904462182522451e-162
16241,428.12731386799317,2.004408637387956e-161
14737,425.02014210756903,2.07840224967111e-160
15414,424.71466968280026,2.6163043229825532e-160
16577,423.5478215776892,6.30485347923091e-160
27979,421.5660672274044,2.812082523223245e-159
27996,418.62663875921055,2.5915361080137958e-158
27980,414.0499945432255,8.290978095177318e-157
15399,408.3644195748917,6.222182282133073e-155
15158,406.363009790442,2.854808727141964e-154
15195,406.18895601209454,3.259516146764912e-154
28016,402.52014531434804,5.34745668096206e-153
16211,401.64441707318434,1.0436339299791883e-152
14204,400.87529502225084,1.8781088028819634e-152
13966,400.87529502225084,1.8781088028819634e-152
14086,400.87529502225084,1.8781088028819634e-152
28123,396.6443457493502,4.780752655132992e-151
28059,396.6443457493502,4.780752655132992e-151
16944,394.2830037032006,2.9214760626144266e-150
15412,392.497633449155,1.1499844810119915e-149
15159,391.85432908696976,1.8848144023465823e-149
28030,391.03762596591974,3.5302112492336665e-149
15114,390.3289004461301,6.0870614465276e-149
14499,389.11476176868877,1.548734522491565e-148
16947,386.14979269095284,1.519214015846426e-147
14691,384.63723181575926,4.877210951285936e-147
15846,383.3901739950378,1.276880782173465e-146
16946,382.468291012099,2.6021897175287218e-146
14486,378.97776130173924,3.868651767796295e-145
13961,377.493409642154,1.2212010107542877e-144
14081,377.493409642154,1.2212010107542877e-144
14199,377.493409642154,1.2212010107542877e-144
15241,376.16401580245184,3.4219498060973885e-144
27988,375.1982421556663,7.237439763426864e-144
15197,374.6028519665253,1.1487613662762177e-143
15410,373.4630265929361,2.7832172740706753e-143
13965,372.15090450201495,7.71405224156189e-143
14085,372.15090450201495,7.71405224156189e-143
14203,372.15090450201495,7.71405224156189e-143
15397,369.9927939235097,4.132642314477837e-142
28033,369.57745729112946,5.709844758832959e-142
28093,369.57745729112946,5.709844758832959e-142
14202,367.27667426645087,3.427623143944629e-141
13964,367.27667426645087,3.427623143944629e-141
14084,367.27667426645087,3.427623143944629e-141
15398,366.99818684442533,4.258728670380959e-141
27998,365.4060774012935,1.4744159948510543e-140
28108,365.4060774012935,1.4744159948510543e-140
28050,365.4060774012935,1.4744159948510543e-140
28013,361.7186259062758,2.628807008664367e-139
16948,360.8572758656748,5.157175968926623e-139
15413,356.7045839085556,1.3349660982916933e-137
28086,353.69454854626997,1.4188244956983189e-136
28117,353.54949965814666,1.590154486308767e-136
14733,352.629543283688,3.2776025016917e-136
15115,349.207621088465,4.8473221462702876e-135
14485,348.93658214322744,6.001684485969938e-135
28124,347.7929321945766,1.4787341184317687e-134
28060,347.7929321945766,1.4787341184317687e-134
27995,344.9846722754906,1.3572824839634912e-133
15870,343.44695768225483,4.576732992895293e-133
16262,343.44695768225483,4.576732992895293e-133
15409,338.0174408886313,3.376203940697216e-131
15113,330.15438574524086,1.7559314996095475e-128
15242,329.32868817774363,3.3922107096012544e-128
15198,328.953472140318,4.5759842046418973e-128
16943,326.5350380726647,3.1558987885571403e-127
28015,324.93432768571597,1.1347152793652516e-126
28139,324.93432768571597,1.1347152793652516e-126
28077,324.93432768571597,1.1347152793652516e-126
14487,323.52818307319467,3.4958287700912e-126
15411,317.1379593089735,5.8834281818667726e-124
14399,316.8043921951685,7.692590670213512e-124
27987,315.3847986168973,2.409327302832553e-123
15767,311.3107644591588,6.415998230852434e-122
15428,304.2954431145811,1.8627974679799438e-119
15396,302.7043962300779,6.764588982388344e-119
16945,302.5512105577577,7.659400233282826e-119
14732,301.2913399536984,2.1287676373202355e-118
28107,299.6880946303749,7.82637327733638e-118
28049,299.6880946303749,7.82637327733638e-118
27997,299.6880946303749,7.82637327733638e-118
26910,293.91883021541844,8.569735388200893e-116
27815,293.91883021541844,8.569735388200893e-116
15419,293.7436182442491,9.885975574497216e-116
13963,293.6146617356997,1.0982328568971078e-115
14201,293.6146617356997,1.0982328568971078e-115
14083,293.6146617356997,1.0982328568971078e-115
19871,293.5044511260722,1.2015246485035425e-115
20030,293.5044511260722,1.2015246485035425e-115
13909,291.3852207859547,6.775197293784368e-115
15765,289.9293734392569,2.226110634772552e-114
14738,289.57348770871516,2.977892824311295e-114
1571,288.99463855289144,4.780774226244272e-114
723,288.10094817152697,9.932451464118823e-114
15121,286.2400081257671,4.559165893468606e-113
19075,285.26420824976447,1.0144525742061771e-112
19129,285.26420824976447,1.0144525742061771e-112
2090,283.9536693392091,2.9721375068231153e-112
26037,283.63515650080814,3.859999137697385e-112
25226,283.63515650080814,3.859999137697385e-112
14725,283.02302406351146,6.379931687900877e-112
15495,283.00286820207486,6.486391356755513e-112
28035,282.74822229778573,7.994880001992344e-112
28095,282.74822229778573,7.994880001992344e-112
16844,282.5180457995672,9.658448004875888e-112
15204,280.04622952649396,7.366588166802573e-111
28029,280.02100028239295,7.521068471997976e-111
15142,279.92577553749663,8.133919983802428e-111
28057,279.83946454002677,8.732477254919687e-111
14680,279.5492056134177,1.108804049585279e-110
2511,279.51941185108234,1.1363235242065376e-110
1463,279.06324136088085,1.654038630142198e-110
15785,278.8736049974198,1.933477026672965e-110
28012,277.38892885359684,6.567193611566778e-110
24455,276.5925296445435,1.2660273183301217e-109
23746,276.5925296445435,1.2660273183301217e-109
735,274.8130475550471,5.494299746360648e-109
722,274.04371555798434,1.0368973326100663e-108
2509,273.2234055825719,2.0416657557438873e-108
1773,272.39762242640086,4.03972629646511e-108
2073,272.29498926993733,4.397411270647404e-108
1761,272.29498926993733,4.397411270647404e-108
16842,271.9007444513645,6.091899801859273e-108
13917,271.7992419875409,6.625268678498648e-108
15196,271.61650508862573,7.706060804952738e-108
28084,270.8179849317685,1.491784626901585e-107
16438,269.881600667748,3.2381311237955426e-107
15925,269.881600667748,3.2381311237955426e-107
15995,269.3874311514851,4.875366978855097e-107
16576,269.3874311514851,4.875366978855097e-107
1462,269.1065767099186,6.15223541274748e-107
16949,269.08735112013517,6.250995821337856e-107
2551,268.90366822598446,7.278335063265257e-107
2029,267.664078214117,2.0332781948262517e-106
1533,266.9142353185688,3.7866806031519715e-106
22879,266.0508318170147,7.751407670898186e-106
22564,266.0508318170147,7.751407670898186e-106
13922,265.44433046598704,1.2824254373543946e-105
2453,264.8755601527551,2.0566396441058515e-105
14682,264.7531484701327,2.2767509910139675e-105
736,263.6994195509826,5.464723557345927e-105
15203,263.03332977078617,9.50754183616773e-105
15225,262.93991542447685,1.0275545003899727e-104
15967,262.66914351973037,1.287080259853748e-104
16405,262.66914351973037,1.287080259853748e-104
2133,261.2592178026153,4.1603935396431966e-104
14739,261.22168351387336,4.292448658126497e-104
730,261.1296211162513,4.634384665444109e-104
15120,261.001202308214,5.1573630513314697e-104
16146,260.731994404099,6.453337888585819e-104
16683,260.28931628274927,9.330644735460906e-104
15629,260.28931628274927,9.330644735460906e-104
1688,260.1983396530527,1.0065276432674802e-103
15091,259.1228270530743,2.4664740943966167e-103
13924,259.09384840566486,2.526784850559011e-103
1786,258.1827916161112,5.401514303547654e-103
18810,257.10295749345744,1.3299556754557138e-102
17798,257.10295749345744,1.3299556754557138e-102
14684,257.0068802198563,1.441012731185231e-102
1551,256.8238015422665,1.67897729456458e-102
19542,255.60656558245924,4.6404987573143415e-102
19341,255.60656558245924,4.6404987573143415e-102
14488,254.90651674837804,8.330006465280939e-102
15043,254.44422392651836,1.2260154647478175e-101
16555,253.47699839245996,2.7532184876974897e-101
16016,253.47699839245996,2.7532184876974897e-101
2515,253.42203119917562,2.882797176989267e-101
1765,252.6523512327459,5.4899295969196596e-101
28056,252.64553564156455,5.5213417914072346e-101
28083,252.6141678204699,5.668247045657973e-101
15359,252.3848585927171,6.867897831893948e-101
4927,252.22653818437698,7.841426783989498e-101
4830,252.22653818437698,7.841426783989498e-101
2637,251.29631001598875,1.7091487995420188e-100
14591,250.00328402711887,5.052141025915466e-100
16845,249.973138702253,5.181480246091693e-100
23066,249.9156493496166,5.437396723112429e-100
22459,249.9156493496166,5.437396723112429e-100
28126,249.4512583358557,8.026886413785642e-100
28062,249.4512583358557,8.026886413785642e-100
13730,249.43670251787916,8.12549723152261e-100
1576,249.06990376923883,1.1053373398995501e-99
2549,249.03002515291064,1.1429486442413017e-99
16573,248.98060221922557,1.1913437394098581e-99
27454,248.83417033939713,1.3471072574505293e-99
26619,248.83417033939713,1.3471072574505293e-99
10343,248.7136343654863,1.4905057197843466e-99
11932,248.46899991113764,1.8302294135048834e-99
1101,248.329777246629,2.057121684180181e-99
2554,248.16414361323345,2.3640064668481203e-99
1176,248.08762827382418,2.5208541291321496e-99
15075,247.67647078842413,3.560309654007487e-99
1655,247.63080297278617,3.69951060049966e-99
1317,247.53290417965854,4.016545915989838e-99
4729,246.68228939073975,8.207456780438995e-99
4921,246.67903297795613,8.229947591304985e-99
15987,246.6261100811849,8.604234501703072e-99
16458,246.6261100811849,8.604234501703072e-99
9654,246.55184484486708,9.15836178082447e-99
5377,246.25525019267863,1.175121651826046e-98
20568,245.8431884275427,1.661617173588037e-98
20780,245.8431884275427,1.661617173588037e-98
12838,245.82766902024287,1.6834416104563727e-98
8946,245.71161441713005,1.856002263982875e-98
4818,245.6404108827004,1.970525023323359e-98
8352,245.6064661391219,2.027584485335656e-98
11147,245.5199839700791,2.180542017643646e-98
6760,245.22225880423957,2.801011139955683e-98
15566,245.11362063869376,3.0690391824600735e-98
14295,244.83671466603963,3.8741292772012314e-98
3739,244.55808959866357,4.8977002775926633e-98
16322,244.33291269699797,5.91959703923669e-98
1750,244.3131332966065,6.018966057430665e-98
19480,243.8427680751953,8.94286579738468e-98
19374,243.8427680751953,8.94286579738468e-98
6363,243.8021430335538,9.254027041105396e-98
5512,243.65467079763232,1.0477447079932255e-97
1273,243.61184742271618,1.0862136132430284e-97
4725,243.56331850153464,1.1315192629778851e-97
7260,243.5358734103712,1.1579736848752654e-97
15935,243.460436999545,1.233919688931898e-97
16345,243.460436999545,1.233919688931898e-97
5179,243.30201033161353,1.410036154742664e-97
