dim,Atlas,ROI
0,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2001
1,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2002
2,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2101
3,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2102
4,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2111
5,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2112
6,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2201
7,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2202
8,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2211
9,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2212
10,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2301
11,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2302
12,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2311
13,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2312
14,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2321
15,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2322
16,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2331
17,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2332
18,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2401
19,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2402
20,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2501
21,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2502
22,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2601
23,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2602
24,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2611
25,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2612
26,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2701
27,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,2702
28,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,3001
29,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,3002
30,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4001
31,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4002
32,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4011
33,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4012
34,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4021
35,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4022
36,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4101
37,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4102
38,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4111
39,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4112
40,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4201
41,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,4202
42,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5001
43,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5002
44,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5011
45,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5012
46,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5021
47,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5022
48,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5101
49,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5102
50,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5201
51,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5202
52,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5301
53,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5302
54,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5401
55,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,5402
56,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6001
57,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6002
58,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6101
59,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6102
60,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6201
61,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6202
62,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6211
63,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6212
64,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6221
65,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6222
66,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6301
67,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6302
68,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6401
69,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,6402
70,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,7001
71,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,7002
72,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,7011
73,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,7012
74,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,7022
75,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,7101
76,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,7102
77,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8101
78,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8102
79,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8111
80,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8112
81,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8121
82,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8122
83,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8201
84,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8202
85,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8211
86,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8212
87,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8301
88,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,8302
89,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9001
90,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9002
91,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9022
92,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9031
93,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9032
94,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9041
95,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9042
96,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9120
97,mesh.intensity_AAL.Template_T1_IXI555_MNI152_GS,9130
98,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,1
99,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,2
100,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,3
101,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,4
102,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,5
103,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,6
104,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,7
105,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,8
106,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,9
107,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,10
108,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,11
109,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,12
110,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,13
111,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,14
112,mesh.intensity_AAL2.Template_T1_IXI555_MNI152_GS,15
